Experiment,v1_mean,v2_mean,zr_mean,a_mean,ndt_mean,sndt_mean,alpha_mean,v1_median,v2_median,zr_median,a_median,ndt_median,sndt_median,alpha_median
3024_class_words_part_1.dat,3.045760605449938,-1.8862436649586316,0.4901601842180385,1.287586568815506,0.49846847322961685,0.016444870284557725,1.9647073154816557,3.0426514471258113,-1.885392800654078,0.4895849160035346,1.2876249034081992,0.4983222712581234,0.015440717523152722,1.9741938057218693
1025_class_words_part_2.dat,4.184019462869903,-3.033868736788393,0.47313207873455304,0.9923835160849389,0.4527713278230199,-0.0017270511447316879,1.985501192539825,4.189025966720239,-3.034327186329267,0.47377858524723004,0.9881340899138966,0.45272199759171483,-0.0016942928115885186,1.9969185534319664
1011_class_pictures_part_1.dat,1.1832484901403977,-2.0688717493780273,0.44896330066213,0.8020295986988389,0.6720159208447556,0.0684620867635567,1.7034701518625557,1.1550696137022405,-2.054301885798928,0.4495283541784493,0.808815235279217,0.672384686929937,0.06967709727596243,1.7309159619713164
017_class_pictures_part_1.dat,2.1600748217797436,-3.854434946127175,0.5404779707958409,1.3340360766943018,0.5858443311496454,0.006913641660242171,2.0022138415863417,2.163931085078409,-3.8569823394139093,0.5414210912236731,1.3247277804686344,0.5861476150995755,0.006843580085445444,2.011111671283099
1004_class_pictures_part_1.dat,1.8810733390990855,-1.8078688323974215,0.4742535764691795,1.4358103840768577,0.5822264735389371,-0.004145519245695251,2.007113412427918,1.88482703014706,-1.8025659498258517,0.47248922388856607,1.4334890669779394,0.581822351611752,-0.003292280335561573,2.0108840158564147
1018_class_words_part_2.dat,3.5769348734326387,-3.6170939638845407,0.4942351466073495,1.0910148773273682,0.41356287987166673,0.012580745732630436,1.9162421283589488,3.5781385541640534,-3.625846201724505,0.4946554240247617,1.0760139657507102,0.41442831118494455,0.012864193532434676,1.9301768664773684
1011_class_pictures_part_2.dat,1.5211915994013414,-1.3819365708857245,0.4316124371831339,0.8135360685208755,0.5677374732226188,0.0158382314141471,1.8520553500599517,1.5076159225680157,-1.3665832856864162,0.4304731257497355,0.8200899050488636,0.5674403639289658,0.014718813625339736,1.8862538464477114
2001_class_pictures_part_2.dat,2.537672017157165,-3.0694231063887756,0.4237707249119981,1.6865907278217769,0.4966193162804475,-0.019674303034141177,1.9716990999613266,2.530272189539404,-3.0584822066134274,0.4225688617983042,1.6682244239633433,0.49825636054016076,-0.018803861014349194,1.9852036943719322
1021_class_pictures_part_2.dat,3.893262952675429,-4.381039059750771,0.551408843368785,1.5122469634901954,0.5244014005011538,-0.0014370624904388742,1.959122732997565,3.8923027029421426,-4.421183558849183,0.5533904659781183,1.4772014792166854,0.5266965602035338,-0.001397260261504732,1.9726040946532084
015_class_words_part_2.dat,3.7237063024501666,-1.8182375294795483,0.40906365325316973,0.9794413476856337,0.48273233698360973,0.03728371082836367,1.8494803975328382,3.7125120090335946,-1.8213442132110165,0.4092397552050112,0.9786082019972806,0.48236294573251703,0.038507804524042774,1.8708538719249108
4001_class_pictures_part_1.dat,2.0483324122661797,-2.286427502748237,0.43845217757926264,1.395709269434085,0.520447069154189,-0.002704403934415454,1.9783555438411562,2.043871368996564,-2.2741413791070295,0.4378149619560583,1.3914391038000233,0.5208540305615715,-0.0024063099234692825,1.9875397471075311
