,3024,2005,1027,1006,4004,2003,1018,4002,1014,2017,3021,2004,005,1015,3025,009,004,1009,2014,2012,3016,017,002,3026,2015,1016,2009,4013,1022,1010,010,3017,3003,4003,020,011,2007,3010,3009,4011,2006,3011,2020,018,3022,3005,1021,2019,2008,3006,1019,3004,4001,1012,3002,008,4010,1011,3008,019,3018,3020,1001,014,1023,3013,2002,4006,3023,2001,3007,2011,3027,1003,4008,1026,2010,007,4007,2013,1004,013,3015,1017,012,1013,4012,1025,003,2016,2018,3019,001,4005,1005,3012,1024,1007,4009,1020,1002,1008,015,016
 [ 0.666  0.   ]
 [ 0.754  0.   ]
 [-0.595  1.   ]
 [ 0.659  0.   ]
 [-0.722  1.   ]
 [-0.722  1.   ]
 [ 0.513  0.   ]
 [-0.626  1.   ]
 [-0.778  1.   ]
 [ 0.682  0.   ]
 [ 0.721  0.   ]
 [ 0.754  0.   ]
 [-1.147  1.   ]
 [-0.922  1.   ]
 [-1.05   1.   ]
 [-0.731  1.   ]
 [ 0.747  0.   ]
 [-0.818  1.   ]
 [-0.875  1.   ]
 [-0.595  1.   ]
 [ 0.745  0.   ]
 [ 1.091  1.   ]
 [ 0.802  0.   ]
 [-1.138  1.   ]
 [-0.699  1.   ]
 [ 0.738  1.   ]
 [ 0.987  0.   ]
 [ 0.65   0.   ]
 [ 0.657  0.   ]
 [ 0.794  0.   ]
 [ 0.657  0.   ]
 [ 0.537  0.   ]
 [ 0.746  0.   ]
 [-0.763  1.   ]
 [ 0.627  0.   ]
 [ 0.738  1.   ]
 [ 0.746  0.   ]
 [-0.698  1.   ]
 [-0.706  0.   ]
 [-0.85   1.   ]
 [ 0.753  0.   ]
 [ 0.994  0.   ]
 [ 0.731  0.   ]
 [ 0.643  0.   ]
 [ 0.659  0.   ]
 [ 0.643  0.   ]
 [-0.771  1.   ]
 [-0.595  1.   ]
 [-0.722  1.   ]
 [-0.65   1.   ]
 [-0.65   1.   ]
 [-0.665  1.   ]
 [-1.139  1.   ]
 [-0.809  1.   ]
 [ 1.018  0.   ]
 [ 0.994  0.   ]
 [ 0.906  0.   ]
 [-0.81   1.   ]
 [-0.618  1.   ]
 [-0.754  1.   ]
 [-0.658  1.   ]
 [ 0.681  0.   ]
 [ 0.97   0.   ]
 [-0.731  1.   ]
 [ 0.81   0.   ]
 [-0.673  1.   ]
 [-0.601  1.   ]
 [ 0.618  0.   ]
 [ 0.809  0.   ]
 [-0.786  1.   ]
 [-0.618  1.   ]
 [-0.666  1.   ]
 [ 0.57   0.   ]
 [-0.699  1.   ]
 [ 0.819  0.   ]
 [ 0.619  0.   ]
 [ 0.642  0.   ]
 [ 1.067  1.   ]
 [ 0.571  0.   ]
 [ 0.803  0.   ]
 [ 0.835  0.   ]
 [-0.961  1.   ]
 [-0.785  1.   ]
 [-0.697  1.   ]
 [-0.537  1.   ]
 [ 0.594  0.   ]
 [-0.994  1.   ]
 [ 0.706  0.   ]
 [-0.714  1.   ]
 [-0.978  1.   ]
 [ 0.595  0.   ]
 [ 0.914  0.   ]
 [-0.771  1.   ]
 [-0.635  1.   ]
 [ 0.611  0.   ]
 [-0.673  1.   ]
 [ 0.578  0.   ]
 [ 0.634  0.   ]
 [-0.986  1.   ]
 [-0.713  1.   ]
 [ 0.763  0.   ]
 [-0.659  1.   ]
 [ 0.707  0.   ]
 [ 0.594  0.   ]
 [-0.779  1.   ]
 [ 0.563  0.   ]
 [-1.339  1.   ]
 [ 0.602  0.   ]
 [ 0.691  0.   ]
 [ 1.146  1.   ]
 [ 0.762  0.   ]
 [ 0.689  0.   ]
 [-0.626  1.   ]
 [ 0.721  0.   ]
 [-0.705  1.   ]
 [-0.833  1.   ]
 [-0.65   1.   ]
 [-0.698  1.   ]
 [-0.611  1.   ]
 [-1.106  1.   ]
 [ 0.834  0.   ]
 [ 0.754  0.   ]
 [-0.714  1.   ]
 [ 0.81   0.   ]
 [ 0.739  0.   ]
 [-0.787  1.   ]
 [ 0.834  1.   ]
 [-0.794  1.   ]
 [ 0.61   0.   ]
 [ 0.683  0.   ]
 [ 0.579  0.   ]
 [ 0.611  0.   ]
 [ 0.643  1.   ]
 [-0.555  1.   ]
 [ 0.595  0.   ]
 [ 0.555  0.   ]
 [ 0.859  0.   ]
 [ 0.514  0.   ]
 [ 0.546  0.   ]
 [ 0.641  0.   ]
 [ 0.755  0.   ]
 [-0.635  1.   ]
 [ 0.746  0.   ]
 [-0.65   1.   ]
 [ 1.233  1.   ]
 [-0.673  1.   ]
 [-0.658  1.   ]
 [ 0.922  0.   ]
 [ 0.69   0.   ]
 [-1.426  1.   ]
 [ 0.787  0.   ]
 [-1.227  1.   ]
 [-1.443  1.   ]
 [ 0.571  1.   ]
 [ 0.746  0.   ]
 [-0.849  1.   ]
 [ 0.746  0.   ]
 [ 0.593  0.   ]
 [ 0.627  0.   ]
 [-0.643  1.   ]
 [-0.85   1.   ]
