Experiment,v1_mean,v2_mean,a_mean,ndt_mean,alpha_mean,v1_median,v2_median,a_median,ndt_median,alpha_median
3024_class_words_part_1.dat,2.618685580047289,-1.782665237106447,1.240103846554408,0.48294081353357526,1.8318862678745844,2.6160682201861998,-1.7806636119107115,1.2385005221020253,0.48353670317308517,1.8376533613249566
1025_class_words_part_2.dat,3.9717617520306407,-3.3012069822774937,0.9863290950197597,0.4449813826385025,1.8642232270143304,3.9802591486334054,-3.298341323060158,0.9828948167433602,0.4454909809552714,1.8667209467595987
1011_class_pictures_part_1.dat,0.8048804646582483,-1.6620991120769621,0.7954981809884415,0.607122061649116,1.4311243455391027,0.7964240208319618,-1.65377674418867,0.7923641146262671,0.6075140673799126,1.4253503037983517
017_class_pictures_part_1.dat,2.434123719438543,-3.6930561110590676,1.5452003043436415,0.5489991156487601,1.769264102518312,2.4287503664479715,-3.683310348526018,1.5222471048323336,0.5525254865004035,1.773667577640369
1004_class_pictures_part_1.dat,1.6211208347205248,-1.8171734833812876,1.3382277031249068,0.5869368160405551,1.9240273328916366,1.6222003687547986,-1.8178120604257568,1.3389288852933243,0.5878781868324379,1.938916866915394
1018_class_words_part_2.dat,3.4516394805216977,-3.6430356367226633,1.1694518782500538,0.39387244527369125,1.823471444995,3.4580701418250657,-3.6473541081926064,1.1639266497743248,0.3948220351266682,1.8315942025737748
1011_class_pictures_part_2.dat,1.0759817534966583,-1.4181766767082211,0.813370190178425,0.5241712515911711,1.6986787956390066,1.0623957108777407,-1.4171072561002722,0.8211703033687204,0.5246451360222846,1.7092777798767353
2001_class_pictures_part_2.dat,2.101404766786253,-3.774969332878969,1.600781341426434,0.5039682675792526,1.9594756235273334,2.1021748251308665,-3.7610087975245543,1.5894517365157206,0.505296965834465,1.9681138500351727
1021_class_pictures_part_2.dat,4.568292724321571,-4.493104602286224,1.9432086770389718,0.4860865383485772,1.8192215008294048,4.6194140785531665,-4.535238901567289,1.905468542085199,0.4893908087157561,1.8306106766485883
015_class_words_part_2.dat,3.4922551553696426,-3.025547690732173,2.149008209341389,0.31785796290037877,1.3494202418008798,3.4867910486684943,-3.017859830933426,2.150055981441498,0.3189059637223336,1.3538305426197252
4001_class_pictures_part_1.dat,1.6072326732934663,-2.6111305442430957,1.2871894968963657,0.5316419262553438,1.9679332330023527,1.6080011817787505,-2.6152072821085444,1.284345580129309,0.5324520454748363,1.9790681577211215
3010_class_words_part_2.dat,2.2680234271064994,-2.088579093725489,1.2129520704924943,0.4664811099632202,1.6674831257233595,2.267295422752106,-2.088680433345603,1.212288857252009,0.46746602636526163,1.6698030233014638
