Experiment,v1_mean,v2_mean,v3_mean,v4_mean,zr_mean,a_mean,ndt1_mean,ndt2_mean,ndt3_mean,ndt4_mean,sndt_mean,alpha_mean,v1_median,v2_median,v3_median,v4_median,zr_median,a_median,ndt1_median,ndt2_median,ndt3_median,ndt4_median,sndt_median,alpha_median
1010_associative_priming_part_2.dat,1.6573013921527942,1.0959605387875704,-1.6888686071065668,-1.2813302457936215,0.4717147193740698,0.9371941942954063,0.5618203156540573,0.5674963317568043,0.5485521892889991,0.5500613545799006,0.059311627132562855,1.7532387845596287,1.6298391249188846,1.058182982949442,-1.6538729714675395,-1.255281348134971,0.46505145651177393,0.9498302178121054,0.5596500379195433,0.5678027640872276,0.549292603582602,0.5492821409627038,0.060992089002376446,1.8011970888148958
2013_associative_priming_part_2.dat,1.9095872805358318,2.360618399801726,-2.1094681804922564,-2.145207639811848,0.4709654858744481,0.9573816109351874,0.5215274996332414,0.5371744110838815,0.4802297916501189,0.5076193614966191,0.052386296271907384,1.672782764458097,1.8882321203297319,2.337874659219695,-2.079373981333939,-2.090498077460399,0.4624412032976032,0.9580968916861139,0.5225244979028143,0.5395912851826012,0.48075276698114133,0.5083399327394582,0.05384117927716371,1.7188261776757319
4010_associative_priming_part_2.dat,2.6096282681005096,2.6242446199136285,-2.505432791816187,-2.5644240339410063,0.4522625126396556,1.657336743599164,0.5339983726578957,0.48997933731695503,0.4720083138243639,0.5041425826866256,0.02450376835145771,1.8265320826987612,2.6103501170752357,2.596086642629839,-2.5038375581429264,-2.5498521632914626,0.4359926860497526,1.6119754218554183,0.5367381984229951,0.4913373280214661,0.47707996204642633,0.5055295756205477,0.0221679145966978,1.8631115925003177
4006_associative_priming_part_1.dat,2.4579897024568833,2.7503649210061876,-3.0130379594197754,-2.678524400647885,0.44647633411096144,1.4032257018870289,0.5062881678614294,0.5078077694174844,0.47506534122595384,0.5143440535056261,0.0262327157003621,1.7559966234236735,2.4577570363674734,2.7431060288813107,-2.9918290438637003,-2.6427639760886414,0.43279995976018154,1.3608504047083536,0.5084862484589168,0.5125875046209403,0.47865033805746826,0.5173210631528632,0.024819486360256438,1.793737694980298
1001_associative_priming_part_2.dat,3.4889027460810595,2.776075341075841,-3.4300811273489025,-2.8491589007159264,0.45384060292436,1.4837058669255512,0.49485507502690973,0.4503002480698314,0.4831142963988673,0.4935573912558406,0.022467470314211133,1.7919558821752817,3.489085026301362,2.7541574819249406,-3.4124451936682827,-2.8228098885018715,0.4413010635371675,1.4351577111432572,0.49745858056560477,0.454632502730716,0.4875560542223957,0.4974765073014343,0.020913632353304165,1.8288740267051904
2015_associative_priming_part_2.dat,3.032309101819339,3.124466429692434,-2.4672084600718938,-2.6656634780819277,0.4590683298214362,1.2509448105097813,0.4971690523998411,0.48165092590374525,0.44287156598627664,0.5090021719976342,0.04378593987129072,1.6035818736430338,2.976790232891279,3.1161794381867507,-2.428113358050981,-2.606851089004083,0.4480092022317766,1.2058317423967084,0.4993111901391228,0.48769054617227425,0.44649731303256535,0.5117700013697704,0.0442091496414798,1.6146883592057313
1002_associative_priming_part_1.dat,2.0598292013967603,1.9251774618772648,-1.945084902876918,-2.0874046502820947,0.45344500861207104,1.5721271770256107,0.5277583201810631,0.5188380178149038,0.45045873908405965,0.5340859854242399,0.025901709434911616,1.8019743901423262,2.065019269001824,1.921424997003637,-1.9527381727547504,-2.0501653974105505,0.4399891547823314,1.5469958121553882,0.5264714986294506,0.5219254046108401,0.4532510351821013,0.536921330234261,0.024777057445922457,1.843867117433732
2029_associative_priming_part_1.dat,2.684841597078449,2.8121982638439076,-2.2395089734938782,-2.3937227145837467,0.45493782410627226,1.5176409110659996,0.550930177746851,0.5509105536393297,0.4895066135055562,0.5277791323218984,0.03819914951135485,1.6704283452515813,2.6698726928546517,2.789782243556808,-2.2229264310324193,-2.373234659700986,0.4361351492117086,1.4639177885369845,0.5539509819761835,0.5567734818253399,0.49396290237733037,0.5300116595757938,0.03813307068912067,1.6824852504284162
1022_associative_priming_part_1.dat,1.54162280770233,1.652656453604486,-1.484951393997272,-1.9297706046991485,0.4614048432973543,1.4187532802593883,0.5541392392249226,0.5432338178025846,0.4632276778380058,0.5028202242022921,0.04047762912478822,1.7443251799549617,1.536699685067473,1.6452550449717793,-1.4818330524064744,-1.9100740203479951,0.45156186020641764,1.411201993470948,0.5529826560799346,0.5449261073125757,0.46365582874162975,0.5053092970770443,0.03933639015722364,1.7918227213732647
3005_associative_priming_part_1.dat,1.8342427664380943,1.724527110826092,-2.1509314965683175,-1.7126120339257167,0.4439225145061013,1.13729340398859,0.550521247132799,0.5395855321330225,0.5263616953022664,0.5368342098747106,0.033157046273820656,1.7487607200772475,1.8348052548481446,1.7068458526546038,-2.137087163455335,-1.6811342991175346,0.42951086760021273,1.1409737849399835,0.5502376784946756,0.5405638046233333,0.5279760165538782,0.538852977310601,0.032279107503950674,1.8017575802902717
