Experiment,v1_mean,v2_mean,zr_mean,a_mean,ndt_mean,sndt_mean,alpha_mean,v1_median,v2_median,zr_median,a_median,ndt_median,sndt_median,alpha_median
3024_class_words_part_1.dat,2.7753016445978145,-1.843633560069954,0.4883043364246481,1.2866374662505902,0.4914228307826203,0.020234323468102475,1.9395200102964432,2.7733152735943563,-1.8460819295515623,0.4885997203997555,1.2816031379966746,0.49150363562006333,0.01926939332255198,1.9491718919734236
1025_class_words_part_2.dat,3.9514873604246255,-3.030869203823556,0.4600967056784934,1.0249711142449756,0.4448221713330302,-0.00548231643471356,1.9734127841799363,3.954950166338056,-3.037286986807201,0.4586616497022884,1.0183838475590463,0.4451387013446932,-0.005015054234635857,1.982922946958434
1011_class_pictures_part_1.dat,1.094287249961732,-2.053253676291403,0.4538586404566536,0.8427403818124128,0.6647804002859632,0.07144905356203568,1.6807150281141827,1.0919865207707034,-2.0451521525743783,0.45463328343518195,0.8548421569739596,0.6652468393928386,0.07257680525378687,1.7145190641008492
017_class_pictures_part_1.dat,1.991843343910832,-3.771074851329607,0.5283975576826188,1.33114502459402,0.578720268251925,0.009056695864003941,1.9538992340974128,1.9839947661272004,-3.7638977205324085,0.5271429403042158,1.3193529500933352,0.5795756152706295,0.009262979708337754,1.9648674609983652
1004_class_pictures_part_1.dat,1.6953515782909017,-1.7661071100740797,0.48008343711020746,1.4146990846792407,0.5782502643820433,0.0050176581374640535,1.9881560348233243,1.6861502141210654,-1.7606693449858213,0.48040090517650663,1.408314114856338,0.5787440653534064,0.006035621292295068,1.9973329102458435
1018_class_words_part_2.dat,3.360190515283436,-3.5844593846900596,0.4821083331475519,1.1170187822778896,0.40533903761023465,0.008633429338032156,1.8852685139391043,3.3599734177065255,-3.59461519674485,0.48225598637870615,1.0949417351068722,0.4069547883660497,0.008391435469659855,1.90209279975146
1011_class_pictures_part_2.dat,1.4099063258805826,-1.430717053208663,0.4368899751933517,0.8443762402267916,0.5657963189685895,0.02368252887350652,1.855786471668468,1.399251912695687,-1.427296827211928,0.43642837292390857,0.8533440510081092,0.565436069626774,0.02325399357105154,1.8913312852144297
2001_class_pictures_part_2.dat,2.3552150589481013,-3.068416965646664,0.4295528144889214,1.7336674435931034,0.48237796870305444,-0.018847321176022107,1.9264230731178285,2.361520690765728,-3.0656638845263133,0.4287950123857262,1.7103295958523999,0.48403317424342196,-0.01683363617259452,1.9384360951917756
1021_class_pictures_part_2.dat,3.769519251277563,-4.271465178713768,0.5269026219762714,1.5367852024914004,0.5141593746578133,-0.0013499646053359128,1.9321366021665463,3.7678546792077823,-4.279573588527192,0.5276901028018304,1.4881213219189342,0.5174856406118904,-0.0005961987444460387,1.9468215641122706
015_class_words_part_2.dat,3.4464900625817756,-1.8480409967217537,0.4159434688588626,1.0022490122658725,0.4785546678238485,0.03835512471858592,1.8622690259242587,3.4373906869872055,-1.844863323812848,0.4141140713107371,1.0026609268014235,0.4778429351937692,0.03931688688064547,1.8903399618114478
