participant,v1,v2,a,ndt,alpha,accuracy_percentage,mean_log_rt,RT_mean_correct_error,mean_correct,mean_Crror,log_alpha_mean,error_array,RT_Cor_arr
1,1.4927633611038895,-1.407748734242392,1.270016529939809,0.32179601814784314,1.476781918152671,0.8540580789277736,6.517579701676807,0.7100126582278481,0.7027750653879686,0.7523673469387755,0.3892877299437624,"1       0.633
55      0.890
61      0.636
75      0.585
77      1.177
        ...  
1289    0.574
1293    0.917
1313    0.540
1321    0.613
1335    0.717
Name: rt, Length: 196, dtype: float64","0       0.551
2       0.608
3       0.858
4       0.564
5       0.654
        ...  
1338    0.774
1339    0.457
1340    0.556
1341    0.936
1342    0.900
Name: rt, Length: 1147, dtype: float64"
2,1.38933021411191,-1.5125581033870952,2.0164701594781813,0.15759236493676895,1.2295112467386902,0.7578304048892284,6.625363986940096,0.7873812070282661,0.7844506048387097,0.7965520504731861,0.20582929221838778,"1343    0.970
1350    0.699
1351    1.218
1368    0.606
1375    0.946
        ...  
2633    1.283
2634    0.640
2636    0.567
2639    0.637
2643    0.973
Name: rt, Length: 317, dtype: float64","1344    0.783
1345    0.778
1346    1.198
1347    0.600
1348    0.932
        ...  
2647    0.830
2648    1.191
2649    1.061
2650    1.243
2651    0.795
Name: rt, Length: 992, dtype: float64"
3,1.1735230316016247,-0.8292817977592529,1.6460394745362803,0.4929332850064262,1.8090743516374015,0.8559822747415067,6.942504251000763,1.1138338257016247,1.098111302847282,1.2072820512820515,0.5922467742446025,"2652    0.872
2657    2.112
2661    1.182
2674    1.528
2684    1.275
        ...  
3974    1.180
3976    1.421
3981    1.519
3996    0.891
3998    1.081
Name: rt, Length: 195, dtype: float64","2653    1.012
2654    0.572
2655    0.584
2656    1.381
2658    2.179
        ...  
4001    0.777
4002    1.076
4003    1.783
4004    1.821
4005    0.649
Name: rt, Length: 1159, dtype: float64"
4,1.541263716075176,-1.3618092414471477,1.2016338256898746,0.4854385812718333,1.7941597381156686,0.8880597014925373,6.682978195902923,0.8351679104477612,0.8263840336134454,0.9048533333333334,0.5839398653052004,"4007    0.568
4015    1.089
4020    0.644
4022    1.294
4024    0.695
        ...  
5244    0.684
5264    0.776
5272    0.796
5287    0.926
5330    0.795
Name: rt, Length: 150, dtype: float64","4006    1.007
4008    1.097
4009    1.310
4010    0.655
4011    0.757
        ...  
5341    0.796
5342    0.646
5343    0.829
5344    0.894
5345    0.672
Name: rt, Length: 1190, dtype: float64"
5,3.2226815225947734,-2.6847215823853388,1.05788491820354,0.36046661446836653,1.5463216043315184,0.9584569732937686,6.280232717222301,0.5426669139465875,0.5415541795665635,0.5683392857142857,0.43540370467531336,"5367    0.386
5375    0.810
5390    0.528
5400    0.404
5413    0.776
5422    0.859
5430    0.620
5452    0.717
5498    0.482
5528    0.383
5562    0.731
5615    0.489
5631    0.690
5645    0.564
5650    0.527
5713    0.436
5733    0.687
5765    0.488
5807    0.566
5830    0.485
5843    0.401
5851    0.528
5939    0.624
5976    0.568
6050    0.540
6061    0.468
6062    0.512
6077    0.567
6085    0.432
6091    0.773
6119    0.508
6127    0.465
6138    0.559
6143    0.638
6207    0.519
6213    0.440
6214    0.601
6218    0.473
6250    0.473
6281    0.553
6313    0.638
6325    0.712
6339    0.883
6343    0.532
6358    0.503
6361    0.595
6406    0.742
6427    0.596
6448    0.435
6460    0.574
6461    0.583
6550    0.556
6574    0.646
6579    0.504
6650    0.442
6687    0.616
Name: rt, dtype: float64","5346    0.442
5347    0.359
5348    0.487
5349    0.350
5350    0.662
        ...  
6689    0.753
6690    0.695
6691    0.607
6692    0.627
6693    0.652
Name: rt, Length: 1292, dtype: float64"
6,1.4359946117990734,-1.0878753866304292,0.6628284924767021,0.3842245098477894,1.3550137496244354,0.8226527570789866,6.382870799587068,0.6028874813710879,0.6038577898550725,0.5983865546218488,0.3028145109612487,"6698    0.559
6701    0.634
6702    0.555
6706    0.514
6707    0.627
        ...  
8021    0.537
8023    0.884
8028    0.701
8033    0.509
8035    0.677
Name: rt, Length: 238, dtype: float64","6694    0.694
6695    0.523
6696    0.486
6697    0.608
6699    0.565
        ...  
8029    0.797
8030    0.654
8031    0.504
8032    0.611
8034    0.643
Name: rt, Length: 1104, dtype: float64"
7,0.8155120525141261,-1.0413962984633398,1.0545952220710522,0.4676075789775615,1.3610150795636602,0.7974870657797487,6.728519196632857,0.8733274205469328,0.8630695088044485,0.9137226277372262,0.3067318925179708,"8048    1.049
8052    0.969
8054    0.491
8063    1.096
8066    1.184
        ...  
9364    0.889
9369    0.638
9378    0.984
9382    0.816
9388    1.122
Name: rt, Length: 274, dtype: float64","8036    0.842
8037    1.127
8038    0.893
8039    0.653
8040    1.350
        ...  
9383    0.913
9384    0.888
9385    0.688
9386    1.068
9387    0.775
Name: rt, Length: 1079, dtype: float64"
8,1.0602249499530032,-1.1569920246564138,1.1051535125437166,0.44217565737729353,1.5134574199662554,0.8407212622088656,6.665528448361908,0.8244673178061608,0.814751563896336,0.8757500000000001,0.41321687033543686,"9399     0.554
9405     0.621
9417     0.526
9423     0.594
9425     0.584
         ...  
10697    0.604
10701    0.907
10705    0.584
10706    0.733
10712    0.574
Name: rt, Length: 212, dtype: float64","9389     0.770
9390     0.661
9391     0.615
9392     0.527
9393     0.773
         ...  
10715    0.728
10716    0.742
10717    0.693
10718    0.784
10719    0.644
Name: rt, Length: 1119, dtype: float64"
9,1.2066224937245715,-1.0393237067902854,0.6193766703076587,0.3294330193281849,1.1615299059649191,0.8022813688212928,6.31046000602012,0.5612973384030419,0.5620786729857821,0.558126923076923,0.14881892684251985,"10720    0.497
10726    0.539
10727    0.573
10730    0.772
10735    0.737
         ...  
12013    0.430
12015    0.518
12016    0.693
12018    0.874
12026    0.687
Name: rt, Length: 260, dtype: float64","10721    0.644
10722    0.499
10723    0.614
10724    0.514
10725    0.403
         ...  
12030    0.811
12031    0.783
12032    0.632
12033    0.729
12034    0.695
Name: rt, Length: 1055, dtype: float64"
10,1.0399129322601521,0.4094257094482761,0.7029683253157483,0.18961438864393942,1.5765185284458323,0.5180831826401446,5.998604993105802,0.4294122965641953,0.43689528795811516,0.42136772983114446,0.4513881929252377,"12038    0.375
12040    0.385
12044    0.276
12045    0.224
12046    0.558
         ...  
13132    0.332
13134    0.234
13136    0.242
13139    0.201
13140    0.579
Name: rt, Length: 533, dtype: float64","12035    0.475
12036    0.568
12037    0.442
12039    0.208
12041    0.475
         ...  
13131    0.330
13133    0.252
13135    0.264
13137    0.278
13138    0.244
Name: rt, Length: 573, dtype: float64"
