participant,v1,v2,a,ndt,alpha,accuracy_percentage,mean_log_rt,RT_mean_correct_error,mean_correct,mean_Crror,log_alpha_mean
480.0,1.7650117166857446,-1.216580447661558,0.9238859501391137,0.3875784544346125,1.5425057936098128,0.8798568507157464,6.44064658528542,0.6448619631901841,0.6460493898895991,0.6361659574468085,0.43281301113850495
481.0,1.1029030167737648,-0.7886543319716056,1.3629414237912643,0.4120213339749177,1.6956270709584067,0.8291040911444847,6.733215406656251,0.8942019678922838,0.891212367270456,0.9087060606060606,0.5273991731022706
482.0,1.844899007345261,-1.3860928386814988,1.2578769360697872,0.4928227041937337,1.3652209088680618,0.8968172484599589,6.700496717102205,0.8360590349075976,0.8307893531768747,0.8818606965174131,0.310692030041559
483.0,1.9754530084675308,-1.462720298719565,1.2770395704493258,0.41025517463669114,1.6819505896800344,0.9173980382034074,6.56355548343932,0.7397712958182756,0.7337951603826673,0.80614375,0.5195956808632957
484.0,1.5762189035351897,-1.4869695204924458,0.9837492242241007,0.42846549488728597,1.4774842481401866,0.8881511746680286,6.523446773887102,0.6982456588355465,0.6981305347901092,0.6991598173515982,0.38974445275515235
485.0,0.8355914808355847,-1.1545062575164275,1.8509715327426435,0.4076952322327312,1.6719026412384541,0.8568475452196382,6.917265032373639,1.0740273901808786,1.0701176115802171,1.0974296028880866,0.5135807100272693
486.0,1.3900865391856176,-1.3024315796874848,0.9324191598342748,0.41503409428479826,1.3910238249308082,0.8601542416452442,6.51435549255035,0.6951470437017995,0.6904560669456066,0.724,0.3293701124248342
487.0,0.9142875102075592,-1.0804719240238214,1.9096274022562771,0.18526731841484448,1.3604959511748131,0.7581967213114754,6.737459831072313,0.8905425204918033,0.8992932432432433,0.863103813559322,0.30731278194890627
488.0,1.0407923939586807,-0.9499016620862553,1.5016854532016464,0.41220973367953984,1.7551353893758503,0.8550649350649351,6.7701823731204325,0.9371537662337662,0.9230315917375456,1.0204695340501793,0.561963566783396
489.0,1.780055160914458,-1.4859997883471685,1.3521664344731616,0.38390744592820886,1.9542599444489293,0.9190988223246288,6.539164058168837,0.7346308243727598,0.7259197771587743,0.8335949367088608,0.6698760053339232
490.0,1.906370437232619,-2.16409385145879,2.256241794100919,0.21440358770730064,1.2472583765580387,0.8536960985626283,6.576406984452895,0.7405641683778234,0.7429290438965724,0.7267649122807017,0.22040559534232387
491.0,1.6556738594366882,-1.6043119869459834,1.4456533368479476,0.3411912257047002,1.4033756371115846,0.8847352024922118,6.5627964107649115,0.7337107995846314,0.7341637323943662,0.7302342342342344,0.33840538757941274
492.0,1.8561253235442796,-1.6169359805153136,1.1715335015273738,0.36299199819335926,1.5066944178874546,0.910394265232975,6.46491064560622,0.6646338965693804,0.6627221597300338,0.6840571428571429,0.40944309038929316
493.0,1.5024891384114496,-1.336562127934725,1.6093011857933126,0.5419085257608949,1.526449841003136,0.9056994818652849,6.884515629746008,1.0164414507772022,1.00745881006865,1.1027142857142858,0.42245096772407176
494.0,1.245118081059461,-1.1729227191020102,1.1540424672209475,0.40733804276130287,1.4581260521012231,0.855094726062468,6.614849708036149,0.77568458781362,0.7720670658682633,0.7970318021201415,0.3764694710988649
495.0,2.077358430424505,-1.6753997807226118,1.2031499718554237,0.39696513751046275,1.4606095830887345,0.9151670951156813,6.5136017347165724,0.6917480719794343,0.6907219101123596,0.7028181818181818,0.3783570779162408
496.0,1.716548930944423,-1.6672372398468145,2.4625529653656946,0.1668257881964987,1.3073130659449173,0.8388429752066116,6.677009647290081,0.8384576446280991,0.8378103448275861,0.841826923076923,0.2674523501102699
497.0,0.9759399917633665,-0.7551934678076734,0.8474575242061106,0.3442953973016471,1.3987095518589068,0.7736331119059785,6.444451171662031,0.6579550332141032,0.6521796565389695,0.6776930022573363,0.3344798890425976
498.0,0.9713012176443883,-0.9569278506013165,0.662137420035895,0.4197199990273475,1.2503980863400328,0.8130165289256198,6.474084400503042,0.6662298553719009,0.6613373570520966,0.6875027624309391,0.22246727246611267
499.0,1.118165250003159,-0.9056954553758562,1.2682159284262549,0.4328990304537947,1.7439279837473216,0.8320571720265442,6.68315558138437,0.8550796324655437,0.8370754601226994,0.9442796352583587,0.5555459281392969
500.0,0.5563740464728689,-0.7874666074397569,1.8928824963410367,0.4192085817561853,1.8117228215067605,0.8254790264111859,7.02250947117425,1.2338736406007251,1.22734504391468,1.2647537091988132,0.5936335963539093
501.0,2.3861019481988652,-1.993857618138662,1.6355384809022842,0.4400075701762511,1.5889002635042697,0.9518324607329843,6.650792606895952,0.7963471204188483,0.7939301430143014,0.844108695652174,0.46269293741028766
502.0,2.207717421637586,-2.0624077923109296,1.7603653837729667,0.39183868801116867,1.714956301358766,0.9533195020746889,6.625404620214735,0.7819372406639004,0.7784564744287268,0.8530222222222221,0.5391657661784603
503.0,2.734007093168114,-2.3622368682287918,1.3590942912676756,0.4488647043751107,1.7147946204015505,0.960804538421867,6.537622370499278,0.7058035069623516,0.7038282340311326,0.7542236842105262,0.5390345866932698
504.0,1.9364146041807748,-1.7105105644106684,1.3694375114899109,0.4249329104012111,1.458666668895575,0.9201442555383823,6.61011407667113,0.7672704791344668,0.761759798432251,0.8307677419354839,0.37704578158063096
505.0,1.3216170228256412,-1.254782453024476,1.470362151926216,0.5087136881021641,1.7146794764854283,0.8980010251153254,6.816996402222009,0.9575940543311123,0.9493230593607306,1.0304120603015074,0.5387971650492632
506.0,1.6860127689226188,-1.2760942859937219,0.9602529965064263,0.41400675917890384,1.4415086726618607,0.8758974358974358,6.501703384525127,0.6890902564102563,0.682284543325527,0.7371239669421488,0.3650735029069672
507.0,0.8642386843352924,-0.4880382094482552,0.7516714052266324,0.36062596299150596,1.259681689245076,0.7344546381243628,6.484128367708134,0.6824704383282365,0.6808091603053436,0.6870652591170826,0.22951371328271894
508.0,1.6888592208723465,-1.5553288910722691,1.4869657024122742,0.45200116212443553,1.617009738336464,0.9140061791967045,6.707088195525583,0.8516421215242019,0.8443430985915492,0.9292215568862275,0.48020816381983494
509.0,0.9607838926696044,-1.1395615158476753,1.1390727763101818,0.4454932865546044,1.5049071866846015,0.8417786970010341,6.677347570542585,0.8280191313340228,0.8248052825552825,0.8451176470588235,0.4079142199543263
