,v1,v2,a,ndt,alpha,mean_log_rt,alpha_arc_box,acc_arc_box
v1,,-0.8892911708019352,-0.061871388333599564,0.03679882052307556,0.107224821992047,-0.45031074802528814,0.0959256323489081,0.8186869052866778
v2,-0.8892911708019352,,0.021325510771928954,-0.014791722519294418,-0.05762031321885801,0.46273555694375046,-0.029260337135638474,-0.7839014862445823
a,-0.061871388333599564,0.021325510771928954,,-0.034736822618458035,0.39420709736134646,0.7746338828461026,0.405033165449163,0.1580604836107616
ndt,0.03679882052307556,-0.014791722519294418,-0.034736822618458035,,0.5589890022589348,0.4613888982340679,0.5451991385385645,0.39999337914936456
alpha,0.107224821992047,-0.05762031321885801,0.39420709736134646,0.5589890022589348,,0.5047767774367712,0.9968854128981135,0.5379677963028868
mean_log_rt,-0.45031074802528814,0.46273555694375046,0.7746338828461026,0.4613888982340679,0.5047767774367712,,0.5086100174374374,-0.0435652645282784
alpha_arc_box,0.0959256323489081,-0.029260337135638474,0.405033165449163,0.5451991385385645,0.9968854128981135,0.5086100174374374,,0.546409852922212
acc_arc_box,0.8186869052866778,-0.7839014862445823,0.1580604836107616,0.39999337914936456,0.5379677963028868,-0.0435652645282784,0.546409852922212,
