,v1,v2,a,ndt,alpha,mean_log_rt,alpha_arc_box,acc_arc_box
v1,,-0.8923439186841291,-0.02474455016824261,0.02474081807118414,0.11164627719503223,-0.42037098465150435,0.11467311736087205,0.8282222136283228
v2,-0.8923439186841291,,-0.0028920496620802308,-0.04242469465446248,-0.06310631415887653,0.39214960319929854,-0.054043800164045364,-0.7978391023062427
a,-0.02474455016824261,-0.0028920496620802308,,-0.1405118713172511,0.29449616150738,0.7549427774743146,0.2877267242438245,0.14005637911967742
ndt,0.02474081807118414,-0.04242469465446248,-0.1405118713172511,,0.5036639413008366,0.44462741418817914,0.4892913688614046,0.4095763111185137
alpha,0.11164627719503223,-0.06310631415887653,0.29449616150738,0.5036639413008366,,0.4015094699845926,0.9964507315397281,0.5128317966157362
mean_log_rt,-0.42037098465150435,0.39214960319929854,0.7549427774743146,0.44462741418817914,0.4015094699845926,,0.39114135340494705,-0.024198527293476314
alpha_arc_box,0.11467311736087205,-0.054043800164045364,0.2877267242438245,0.4892913688614046,0.9964507315397281,0.39114135340494705,,0.4973174214089523
acc_arc_box,0.8282222136283228,-0.7978391023062427,0.14005637911967742,0.4095763111185137,0.5128317966157362,-0.024198527293476314,0.4973174214089523,
