Experiment,corr_type,corr_v1_mean,corr_v2_mean,corr_a_mean,corr_ndt_mean,corr_alpha_mean,corr_v_total = v2 - v1,corr_v_bias = v2 + v1
class_pictures,between session,0.69***,0.756***,0.603***,0.492***,0.476***,0.761***,0.563***
